compressionCurves X,compressionCurves Y
28.5,18.79537892680224
28.6,18.7955591299486
28.7,18.79571761243574
28.8,18.79589463956476
28.9,18.79605471430091
29,18.79621753894031
29.1,18.79636040440323
29.2,18.79646586672028
29.3,18.79659039213472
29.4,18.79670090400072
29.5,18.79677655253569
29.6,18.79686201997021
29.7,18.79696777253415
29.8,18.79703076471922
29.9,18.79709159838326
30,18.79713624531547
